445;H=94;T=21;Hs=0.0;sp=2;sf=7;send_time=1724696670;rx_timestamp=4059043836; rssi=-113; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
449;H=94;T=21;Hs=0.0;sp=2;sf=7;send_time=1724696791;rx_timestamp=4180605841; rssi=-114; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
453;H=94;T=21;Hs=0.0;sp=2;sf=7;send_time=1724696913;rx_timestamp=7202551; rssi=-114; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
457;H=94;T=21;Hs=0.0;sp=2;sf=7;send_time=1724697034;rx_timestamp=128790534; rssi=-114; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
461;H=94;T=21;Hs=0.0;sp=2;sf=7;send_time=1724697156;rx_timestamp=250353529; rssi=-114; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
465;H=94;T=21;Hs=0.0;sp=2;sf=7;send_time=1724697278;rx_timestamp=371934956; rssi=-113; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
469;H=94;T=21;Hs=0.0;sp=2;sf=7;send_time=1724697399;rx_timestamp=493496205; rssi=-114; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
473;H=94;T=21;Hs=0.0;sp=2;sf=7;send_time=1724697521;rx_timestamp=615056488; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
477;H=94;T=21;Hs=0.0;sp=2;sf=7;send_time=1724697642;rx_timestamp=736621450; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
481;H=94;T=21;Hs=0.0;sp=2;sf=7;send_time=1724697764;rx_timestamp=858186055; rssi=-113; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
485;H=94;T=21;Hs=0.0;sp=2;sf=7;send_time=1724697885;rx_timestamp=979748045; rssi=-113; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
